2thetadeg,intx,d-value,sigx,count
4.91016,39.65813,17.98204,0.45581,10238
4.92016,39.70637,17.94552,0.55524,10098
4.93016,39.57373,17.90915,0.40204,10099
4.94016,39.70297,17.87293,0.47076,10014
4.95015,39.62806,17.83685,0.43899,10194
4.96015,39.77904,17.80092,0.51522,10285
4.97015,39.56925,17.76513,0.51345,10269
4.98015,39.65858,17.72949,0.4531,10189
4.99015,39.54348,17.69399,0.53942,10187
5.00015,39.64697,17.65863,0.55974,10276
5.01014,39.53395,17.62341,0.44743,10204
5.02014,39.5802,17.58833,0.43445,10257
5.03014,39.50037,17.5534,0.40441,10271
5.04014,39.50545,17.5186,0.48231,10248
5.05014,39.46684,17.48394,0.4273,10230
5.06014,39.50852,17.44941,0.50619,10443
5.07013,39.50669,17.41503,0.44996,10460
5.08013,39.45328,17.38077,0.4979,10450
5.09013,39.43625,17.34665,0.47859,10533
5.10013,39.44239,17.31267,0.46816,10367
5.11013,39.43293,17.27882,0.48675,10678
5.12013,39.51956,17.2451,0.59687,10480
5.13012,39.13257,17.21151,0.46344,10365
5.14012,39.36596,17.17806,0.40107,10402
5.15012,39.16592,17.14473,0.38772,10553
5.16012,39.3335,17.11153,0.48314,10499
5.17012,39.223,17.07846,0.48891,10653
5.18011,39.32638,17.04552,0.42761,10638
5.19011,39.19354,17.01271,0.48984,10672
5.20011,39.16066,16.98002,0.46853,10651
5.21011,39.14815,16.94746,0.45757,10661
5.22011,39.20901,16.91502,0.47457,10856
5.23011,39.14618,16.88271,0.47004,10748
5.2401,39.06463,16.85052,0.57213,10716
5.2501,39.01023,16.81845,0.45856,10705
5.2601,39.01101,16.7865,0.44579,10695
5.2701,38.90387,16.75468,0.40033,10811
5.2801,38.98562,16.72297,0.41556,10831
5.2901,38.83333,16.69139,0.42666,10791
5.30009,38.95513,16.65993,0.47136,10863
5.31009,38.776,16.62858,0.44745,10931
5.32009,38.86337,16.59735,0.5082,10796
5.33009,38.756,16.56624,0.44877,11062
5.34009,38.76755,16.53524,0.48312,11045
5.35009,38.62409,16.50437,0.47243,11038
5.36008,38.70487,16.4736,0.44014,11039
5.37008,38.61343,16.44295,0.45913,10903
5.38008,38.51601,16.41242,0.42341,10907
5.39008,38.55471,16.382,0.42069,11022
5.40008,38.46252,16.35169,0.42678,11099
5.41008,38.51327,16.32149,0.40955,11081
5.42007,38.41883,16.29141,0.54963,11147
5.43007,38.35856,16.26143,0.47571,11136
5.44007,38.3919,16.23157,0.43091,11257
5.45007,38.24936,16.20181,0.46449,11109
5.46007,38.28017,16.17217,0.39143,11263
5.47007,38.19523,16.14263,0.43077,11306
5.48006,38.23444,16.1132,0.45683,11136
5.49006,38.22089,16.08388,0.54507,11317
5.50006,38.09961,16.05466,0.46318,11245
5.51006,38.17941,16.02555,0.43835,11274
5.52006,38.01904,15.99655,0.409,11411
5.53006,38.0182,15.96765,0.42162,11170
5.54005,37.9862,15.93885,0.4165,11363
5.55005,38.07856,15.91016,0.41794,11442
5.56005,37.90829,15.88157,0.48194,11460
5.57005,37.94688,15.85309,0.4047,11426
5.58005,37.87411,15.82471,0.51497,11485
5.59004,37.89261,15.79642,0.43813,11432
5.60004,37.88329,15.76824,0.45866,11563
5.61004,37.8312,15.74016,0.45108,11559
